fecha,salida,llegada,ruta_id,bus_id,empleado_id
2018-12-14,11:01:02,11:52:31,8,147,49
2018-11-01,12:10:04,04:06:12,8,81,38
2018-06-24,16:14:14,18:42:22,3,127,15
2016-10-18,11:43:17,09:14:35,1,148,7
2019-05-10,15:29:56,01:25:28,3,157,68
2016-10-30,02:18:49,10:03:31,4,133,54
2016-08-27,15:09:25,16:14:55,8,172,68
2017-02-24,23:44:11,16:42:39,8,101,2
2018-02-05,19:00:07,23:16:01,13,104,87
2018-08-05,06:34:45,03:12:15,7,180,59
2016-11-10,20:18:20,06:38:39,12,72,56
2016-04-09,18:35:33,17:56:29,11,195,7
2017-04-30,03:30:14,02:04:50,2,126,100
2018-07-16,00:48:45,14:16:53,5,56,86
2017-11-07,00:54:56,05:04:35,11,113,32
2018-04-27,13:29:55,21:47:17,4,42,48
2018-12-13,04:58:30,17:59:14,1,143,43
2018-01-19,14:56:42,07:01:19,10,50,20
2019-11-15,01:48:15,12:06:32,15,165,36
2016-04-25,11:46:26,00:45:09,8,100,9
2018-05-23,06:45:18,11:49:38,14,164,93
2018-04-11,18:05:18,09:31:30,5,148,94
2019-03-20,10:12:15,00:54:12,14,186,43
2015-12-09,22:48:09,09:52:35,13,25,8
2018-04-19,03:38:58,05:27:42,8,197,75
2019-08-21,16:45:51,16:20:29,14,73,93
2017-11-24,19:14:39,02:33:15,11,58,75
2018-05-17,20:03:24,14:10:09,2,13,33
2019-05-04,18:50:01,20:29:40,14,102,18
2019-07-18,23:10:50,21:06:30,1,82,57
2018-03-25,05:32:24,08:48:26,15,59,71
2017-05-29,19:45:56,10:42:55,3,130,60
2017-11-25,19:21:25,02:31:52,8,32,48
2015-12-05,07:03:36,09:12:42,7,21,64
2016-10-06,12:51:17,14:17:34,5,186,3
2018-03-17,01:28:26,11:41:08,3,8,97
2018-02-12,13:32:38,08:07:49,14,123,38
2016-08-04,08:16:36,10:32:13,9,126,46
2017-12-26,23:13:48,20:57:21,5,139,28
2018-03-18,22:02:41,11:37:34,15,100,1
2018-10-03,11:44:31,12:55:43,12,128,52
2016-01-26,11:13:13,11:11:18,2,71,29
2019-01-13,18:57:40,04:58:27,9,42,9
2019-03-03,02:11:32,20:22:43,9,196,51
2016-08-29,16:39:59,03:19:15,4,64,24
2016-11-27,11:51:09,13:54:31,8,141,21
2018-07-28,05:57:30,11:39:58,5,181,95
2016-07-20,11:58:24,20:09:12,7,200,71
2018-06-26,07:07:39,10:49:01,13,122,56
2018-02-26,06:23:37,07:16:25,2,31,48
2016-03-14,05:28:19,03:52:35,8,179,100
2019-01-16,14:53:54,23:35:33,8,41,60
2018-11-28,00:31:36,07:32:48,14,68,71
2017-02-25,06:48:22,00:31:16,1,161,12
2016-03-16,10:18:51,00:44:16,1,179,67
2019-07-27,17:56:47,20:17:05,9,165,72
2019-06-29,11:25:08,20:25:04,8,170,17
2016-06-05,05:20:31,13:48:01,8,173,34
2017-03-09,18:57:43,18:13:23,7,168,27
2018-11-02,23:49:13,09:23:23,4,167,3
2019-10-23,23:19:17,10:52:01,13,126,39
2017-08-14,03:22:06,09:47:59,8,166,58
2019-04-22,18:25:30,06:29:15,14,80,23
2019-10-15,14:16:47,10:00:27,3,41,38
2018-05-21,08:14:33,22:05:54,6,163,29
2019-07-29,07:14:10,02:32:49,4,133,88
2019-05-11,18:28:46,05:01:04,12,77,18
2017-04-14,23:59:02,09:46:40,4,172,53
2019-02-04,15:50:10,06:09:48,10,112,84
2017-07-12,14:38:28,21:36:46,13,158,89
2017-07-03,09:35:05,08:55:59,4,15,76
2018-10-04,19:53:42,02:41:32,8,105,55
2018-12-21,20:42:21,03:12:53,4,5,9
2019-09-28,08:22:26,19:50:49,9,12,48
2019-02-13,17:47:23,07:42:09,10,102,15
2019-03-16,13:09:08,21:27:43,9,62,28
2015-12-12,23:31:34,18:16:26,13,136,11
2016-08-24,04:42:39,05:03:09,6,167,6
2018-04-21,05:27:14,16:13:10,14,112,71
2016-12-24,17:18:22,08:44:59,10,51,38
2015-11-01,07:18:06,22:46:06,10,183,32
2019-09-08,10:09:30,20:17:53,8,26,69
2016-10-12,05:25:07,17:55:39,4,38,25
2017-02-01,17:33:31,02:59:12,11,78,62
2018-05-23,00:38:13,02:04:46,13,88,38
2017-01-02,18:33:44,17:28:41,8,174,10
2017-07-13,01:35:42,02:44:16,10,197,36
2017-12-14,03:19:42,06:27:02,11,3,51
2018-01-24,12:43:38,04:50:44,5,164,38
2016-01-29,08:20:04,14:36:44,13,168,12
2016-02-14,05:25:33,06:24:50,10,16,36
2016-08-26,07:00:39,21:27:30,2,165,37
2016-02-27,17:04:27,20:07:41,11,148,68
2018-12-24,23:26:14,04:35:17,11,61,66
2018-05-16,23:27:13,17:41:45,9,113,49
2016-12-25,14:58:57,06:06:41,9,54,71
2017-09-03,05:03:41,01:40:43,4,52,1
2019-04-01,12:23:50,07:45:19,12,196,87
2019-09-08,06:55:58,03:26:09,5,37,41
2019-04-20,13:42:06,02:12:40,5,200,81
2016-07-22,16:52:28,16:18:58,5,187,25
2017-08-04,15:29:02,20:42:45,5,55,76
2017-09-20,18:03:00,21:48:13,6,67,21
2017-05-14,01:27:59,18:04:26,6,84,75
2015-12-17,20:54:01,08:02:33,7,153,90
2019-04-10,02:27:36,02:16:04,6,83,70
2015-11-02,05:00:42,17:17:11,11,19,88
2017-10-15,15:36:31,17:22:33,6,168,100
2016-06-20,12:33:33,17:02:51,3,72,58
2016-06-05,14:39:13,08:49:33,15,164,6
2018-02-20,03:20:25,18:12:49,14,40,79
2019-02-21,17:15:10,09:23:44,1,200,45
2016-08-12,07:16:09,09:16:10,1,163,22
2016-03-21,10:36:48,07:11:13,2,64,85
2019-10-01,19:54:09,14:41:58,12,99,37
2019-07-02,07:06:33,17:14:17,12,29,23
2016-11-08,10:11:04,00:28:44,13,20,17
2019-06-23,05:35:32,14:02:17,3,106,84
2017-09-17,03:42:18,17:19:34,1,67,74
2017-05-27,14:49:44,09:42:55,9,155,84
2017-06-03,21:36:59,15:31:58,8,151,17
2019-01-09,01:42:32,16:47:17,7,152,68
2019-02-05,10:02:29,12:41:28,4,146,12
2017-11-05,21:48:47,14:58:12,14,48,90
2016-07-05,18:39:30,10:58:43,1,187,34
2018-07-12,20:44:26,04:51:42,7,15,52
2018-07-14,20:23:27,15:26:19,5,190,46
2018-08-16,12:01:53,14:33:44,8,27,32
2016-03-04,07:03:14,13:26:38,15,140,92
2019-01-22,03:31:17,17:51:33,3,128,27
2017-05-09,22:01:53,09:23:08,13,69,55
2015-12-31,19:29:16,16:16:49,12,58,3
2018-05-26,08:33:43,04:07:04,7,196,24
2017-04-15,08:47:18,18:44:21,5,72,8
2017-02-05,07:32:12,22:20:54,7,197,41
2018-12-03,15:36:19,11:07:44,2,152,94
2016-10-20,02:26:51,01:56:33,1,13,5
2016-08-08,21:11:33,05:31:36,7,90,54
2016-10-21,07:24:28,16:25:00,9,9,48
2015-12-09,04:38:24,00:37:16,6,185,41
2018-12-16,07:59:49,01:15:14,13,3,53
2015-12-12,06:57:50,08:48:13,15,6,22
2016-02-12,07:33:26,05:26:13,13,185,54
2017-12-30,23:23:42,23:36:08,2,39,4
2016-12-02,09:04:08,17:02:38,15,27,22
2016-11-01,04:13:02,10:40:37,15,36,79
2018-10-21,12:22:27,02:59:03,10,45,55
2019-04-10,23:57:22,12:16:42,2,110,14
2015-11-06,07:08:14,05:42:27,7,84,89
2018-12-14,00:15:11,00:12:07,7,156,68
2015-11-16,00:42:29,19:16:16,13,112,91
2016-07-15,08:06:54,19:58:36,5,131,43
2018-06-07,12:06:15,18:10:51,7,126,1
2016-12-29,23:39:42,15:25:52,15,177,9
2017-12-28,23:51:06,01:09:42,1,136,71
2016-02-21,23:08:13,15:36:43,12,65,54
2017-04-18,17:57:44,20:01:38,13,7,75
2017-07-20,04:57:57,20:18:23,6,15,20
2018-09-30,09:48:55,20:34:58,8,177,37
2017-02-01,23:05:08,04:23:16,4,69,22
2019-03-30,09:21:54,20:07:58,10,106,40
2017-12-23,21:58:31,16:27:08,10,160,83
2016-04-06,22:18:23,20:24:15,7,37,65
2018-01-04,16:58:57,10:10:20,4,200,15
2019-11-02,19:35:01,11:16:23,12,82,58
2016-09-17,09:07:32,23:43:29,7,132,33
2017-07-12,07:30:43,16:11:14,8,48,82
2017-06-13,12:24:19,12:38:14,13,144,15
2015-11-11,09:26:17,22:48:49,12,71,74
2018-06-19,19:10:12,12:05:07,3,89,38
2019-04-20,02:53:17,18:37:38,10,142,73
2016-11-13,17:42:07,09:10:26,10,91,21
2017-05-18,08:05:37,06:56:43,9,56,82
2019-05-01,06:50:08,06:20:24,5,149,61
2018-01-11,20:00:44,15:35:35,13,48,76
2019-08-20,15:57:15,21:23:21,12,143,62
2018-05-20,22:03:27,04:53:27,8,77,25
2017-02-11,15:08:06,23:18:29,3,14,99
2016-08-20,04:33:49,23:08:58,10,122,72
2018-03-16,23:39:23,23:34:56,5,149,53
2016-06-13,19:35:51,13:31:27,1,194,65
2018-09-07,03:53:53,19:50:50,11,12,71
2018-12-24,16:12:22,00:33:27,1,132,68
2018-07-22,11:51:31,09:41:16,3,45,34
2016-03-13,12:02:33,03:37:29,5,149,67
2017-08-02,05:19:33,14:33:43,13,156,20
2015-11-15,18:33:14,05:20:43,15,8,73
2016-11-22,03:17:49,12:17:12,10,89,44
2019-04-11,16:11:43,20:43:34,11,69,61
2019-10-04,05:35:40,11:47:25,11,158,44
2017-07-02,05:26:26,16:47:49,3,35,25
2017-07-09,02:42:31,00:28:16,9,4,60
2017-07-27,21:02:24,23:09:29,1,62,13
2016-05-10,18:06:25,07:46:13,6,103,15
2018-03-15,15:41:57,09:10:23,7,12,45
2017-03-08,04:25:11,20:52:37,7,133,92
2017-02-14,03:56:47,09:46:22,6,196,29
2017-05-04,22:34:37,07:01:47,12,111,93
2015-12-23,15:57:29,14:00:04,2,48,41
2017-08-09,11:16:34,04:52:06,2,150,81
2017-05-20,02:42:56,02:28:22,8,94,52
2015-12-28,19:48:16,08:09:47,12,33,41
2017-12-21,16:07:48,14:10:58,9,137,53
2017-10-08,15:39:59,18:42:28,13,131,1
2017-01-01,07:03:53,12:16:53,7,80,21
2017-10-26,18:18:03,03:26:02,2,145,24
2016-02-08,02:30:52,14:38:23,2,105,71
2017-03-30,11:15:49,07:40:51,11,4,17
2016-09-23,02:25:51,02:12:24,2,16,34
2018-09-25,05:07:49,22:46:40,12,55,10
2017-10-08,13:41:45,07:20:34,13,109,20
2017-10-03,05:52:10,07:26:33,7,53,23
2019-10-23,02:55:31,05:02:43,6,113,25
2017-07-11,19:29:15,14:58:26,15,200,3
2018-07-19,07:05:19,01:04:41,1,35,12
2017-01-24,13:05:07,00:50:33,12,160,8
2019-01-22,08:23:31,00:02:19,3,85,22
2018-01-13,18:40:49,20:25:48,10,152,32
2016-12-24,03:22:33,14:24:32,4,184,95
2018-10-13,12:52:59,10:51:56,11,144,9
2019-05-27,15:22:12,00:25:00,14,51,36
2016-01-31,03:03:02,09:20:40,11,61,47
2018-04-18,21:19:57,13:51:56,9,184,59
2018-07-02,02:57:16,11:09:18,6,65,75
2018-01-18,09:45:44,13:03:19,2,130,82
2019-06-24,13:06:26,09:19:51,14,144,58
2017-10-23,12:39:39,09:11:55,2,115,17
2019-02-01,12:32:54,08:28:33,10,140,44
2016-09-13,06:13:29,20:24:37,4,194,48
2019-10-12,17:14:41,12:53:37,2,87,45
2018-11-18,17:51:26,01:37:34,6,182,17
2016-09-18,07:50:52,10:28:14,6,9,24
2018-09-10,01:26:40,20:57:01,14,125,79
2017-03-26,17:05:53,21:41:43,8,86,29
2018-11-29,20:27:19,13:47:07,13,151,84
2016-04-26,23:05:13,19:55:37,10,108,59
2018-05-30,00:12:44,07:32:26,5,177,98
2019-08-27,12:59:30,08:03:10,14,163,52
2016-11-10,07:56:53,14:21:47,8,144,35
2017-11-28,16:00:40,00:06:13,13,22,98
2018-08-09,12:09:57,17:40:54,2,46,19
2019-08-20,09:43:37,14:01:22,12,70,17
2016-08-09,21:15:15,13:15:58,2,191,31
2015-11-23,15:11:27,02:48:31,9,59,37
2018-10-28,18:43:06,08:33:02,4,2,51
2019-01-26,16:43:52,00:48:47,7,169,90
2016-09-11,22:26:39,23:48:42,7,88,89
2019-06-02,01:38:50,13:50:23,14,127,46
2017-08-11,12:15:18,01:55:31,9,8,11
2018-06-24,22:25:54,13:34:03,2,74,97
2016-07-30,03:48:02,04:03:39,5,179,6
2017-06-25,02:07:57,18:55:22,8,143,20
2017-09-01,22:59:12,05:26:02,7,158,35
2019-03-21,22:45:17,22:42:52,10,41,57
2018-11-01,09:25:11,22:38:50,11,132,22
2016-02-24,11:11:17,11:02:55,15,42,65
2016-08-05,09:16:25,08:23:04,2,161,59
2018-04-17,14:04:49,06:17:18,13,128,19
2018-04-16,00:46:27,00:03:01,10,105,71
2019-11-13,07:36:19,12:19:28,4,192,76
2017-01-08,21:10:17,09:29:13,11,176,48
2019-08-18,11:54:47,12:25:03,4,51,80
2016-12-12,05:32:42,02:48:29,14,25,24
2018-10-16,07:37:30,17:21:37,2,143,96
2015-12-29,03:35:43,14:25:03,1,60,85
2017-03-23,02:31:12,05:32:28,13,197,23
2016-10-25,19:01:24,16:41:26,13,64,13
2016-03-03,09:06:34,00:22:04,5,149,39
2016-12-18,17:25:01,16:37:19,8,132,89
2019-05-27,21:39:42,17:26:47,11,148,27
2018-12-14,18:52:53,10:28:05,15,104,40
2019-10-04,14:20:25,21:26:18,14,78,10
2019-06-19,06:27:08,12:46:47,13,47,53
2019-06-03,08:00:54,01:48:54,14,88,72
2019-08-22,15:56:14,23:01:50,6,152,64
2017-02-26,11:39:46,11:56:27,1,92,28
2017-05-03,09:39:22,03:24:42,1,146,84
2017-12-04,14:19:07,15:30:10,13,161,40
2016-01-18,10:15:50,04:15:43,12,193,55
2019-09-10,00:17:05,16:39:19,6,129,67
2018-11-29,18:39:31,15:34:24,10,168,51
2017-11-23,22:58:47,04:24:38,9,99,7
2018-11-02,15:17:13,22:33:21,11,12,10
2016-03-11,07:29:15,22:01:13,12,189,15
2017-01-24,04:06:03,01:34:21,11,43,87
2019-01-17,13:01:22,04:24:43,7,149,94
2016-10-05,17:28:48,10:31:37,11,9,20
2019-06-10,23:31:15,01:03:03,8,33,71
2018-09-24,01:09:45,12:10:57,5,178,35
2016-02-01,19:09:43,18:38:52,1,125,19
2016-11-16,14:36:50,15:11:50,2,165,89
2016-12-22,05:36:21,01:40:02,15,61,5
2017-12-17,09:25:09,04:01:43,7,4,70
2017-09-29,05:42:12,20:59:52,5,38,46
2017-02-23,03:21:12,12:57:28,9,20,49
2017-08-05,20:11:11,10:01:40,1,13,36
2018-11-11,22:47:28,02:21:05,15,83,6
2019-03-21,18:23:05,07:48:22,3,156,22
2018-10-10,03:55:40,04:06:10,3,6,44
2016-11-07,03:36:26,14:00:10,2,57,33
2018-03-12,07:49:54,13:26:51,2,76,61
2016-02-10,03:27:43,03:57:08,9,69,39
2019-07-21,13:35:47,21:22:05,10,199,36
2017-10-08,03:35:44,19:00:54,10,125,76
2019-10-06,10:10:08,01:46:01,5,102,56
2015-11-23,20:47:14,06:58:46,3,88,25
2018-08-25,08:49:18,10:02:30,6,164,94
2016-06-14,13:21:30,22:52:06,12,79,56
2016-12-21,01:02:10,20:08:05,14,124,83
2017-03-02,09:42:00,00:31:17,14,41,76
2016-04-12,14:16:33,19:42:08,14,21,32
2019-02-27,23:36:00,05:39:41,1,109,91
2019-02-03,18:13:37,18:20:34,3,195,93
2016-09-13,08:29:33,06:42:41,11,123,90
2019-06-22,12:46:10,04:40:54,7,56,22
2016-03-18,21:54:53,21:22:49,7,51,2
2017-11-02,09:19:52,14:14:08,6,148,71
2019-03-10,09:54:41,19:18:25,5,43,11
2017-11-28,18:26:02,02:07:20,7,44,22
2018-06-28,21:50:22,00:02:15,15,195,1
2019-01-25,22:13:17,08:17:44,14,134,50
2016-02-04,00:03:30,19:56:05,7,8,71
2019-08-24,12:29:07,12:42:42,2,10,16
2017-12-15,05:37:31,17:36:04,11,127,8
2016-07-12,06:13:16,16:05:32,6,195,26
2016-11-26,20:12:15,06:40:39,13,110,82
2017-10-11,14:27:42,17:03:05,11,54,97
2017-02-06,19:02:36,04:02:14,9,133,46
2016-04-04,11:07:31,22:30:31,2,200,81
2017-05-07,01:48:21,18:26:29,8,35,94
2017-07-24,14:11:14,05:50:49,15,68,81
2018-12-27,03:54:56,22:04:55,4,1,49
2017-12-08,19:09:50,00:29:40,6,198,22
2019-07-25,01:58:21,15:08:58,10,65,18
2016-04-20,22:38:41,00:51:34,11,124,80
2016-11-26,08:32:34,04:34:31,1,80,57
2016-02-17,17:19:02,14:02:50,3,40,72
2016-03-08,05:46:15,07:32:50,2,79,34
2016-07-22,08:46:33,12:14:40,7,155,34
2019-10-05,23:17:56,15:17:09,3,161,10
2016-08-04,11:22:44,19:26:04,9,115,76
2018-02-27,13:01:11,14:28:34,7,35,88
2017-06-30,08:40:07,00:35:11,13,158,2
2019-07-13,23:56:53,16:24:56,11,48,94
2017-11-10,07:07:42,00:58:58,14,101,53
2016-08-26,04:51:57,04:58:45,12,90,53
2017-07-26,11:02:26,02:17:23,10,118,69
2016-12-25,09:51:24,22:00:41,15,187,97
2017-07-13,17:28:20,19:57:59,2,68,82
2018-12-17,01:54:26,02:32:53,3,30,89
2016-03-04,01:33:08,10:13:43,1,78,46
2019-10-16,19:35:33,01:06:51,1,136,40
2017-01-03,04:34:14,00:14:53,7,147,89
2019-06-21,22:03:56,04:13:47,3,99,95
2017-11-08,13:56:55,02:38:29,3,90,9
2016-01-09,12:16:40,16:21:12,14,102,49
2019-06-18,15:33:35,17:19:39,14,188,55
2018-09-05,21:49:04,17:10:49,11,141,60
2018-06-24,17:49:09,10:41:21,12,130,55
2018-07-23,01:25:02,11:40:48,11,59,57
2019-06-25,00:15:11,00:08:35,5,87,47
2018-03-09,09:33:42,17:59:28,15,65,67
2015-11-08,12:53:05,13:11:40,10,146,77
2019-06-02,15:20:02,20:03:25,4,167,23
2019-07-09,06:15:15,13:32:40,6,122,94
